memname,memlabel,name,type,length,npos,varnum,label,format,informat
XATTRS,Extended Attributes,XTYPE,char,4.0,104.0,5.0,Extended Attribute Type,,
XATTRS,Extended Attributes,XOFFSET,num,8.0,108.0,6.0,Offset Into Extended Attribute Value,,
XATTRS,Extended Attributes,XVALUE,char,200.0,116.0,7.0,Extended Attribute Value,,
XATTRS,Extended Attributes,DIAGNOSTIC,char,256.0,316.0,8.0,Diagnostic Message from File Open Attempt,,
LOCALES,Available Locales,LOCALE,char,5.0,0.0,1.0,Locale name,,
LOCALES,Available Locales,LANGUAGE,char,60.0,5.0,2.0,Language,$UESCE,$UESCE
LOCALES,Available Locales,REGION,char,60.0,65.0,3.0,Region,$UESCE,$UESCE
LOCALES,Available Locales,CURRSYM,char,360.0,125.0,4.0,Currency Symbol,$UESCE,$UESCE
LOCALES,Available Locales,ICURRSYM,char,3.0,485.0,5.0,International Currency Symbol,,
LOCALES,Available Locales,CURRRAD,char,6.0,488.0,6.0,Currency Radix,$UESCE,$UESCE
LOCALES,Available Locales,CURRSEP,char,6.0,494.0,7.0,Currency Separator,$UESCE,$UESCE
LOCALES,Available Locales,CURRFRAC,num,8.0,500.0,8.0,Number of Digits for Fraction,,
LOCALES,Available Locales,CURRIFRAC,num,8.0,508.0,9.0,Number of Digits for International Fraction,,
