optname,opttype,offset,setting,optdesc,level,optstart,group
HELPHOST,char,0.0,,Specifies the name of the computer where the remote browser is to send Help and ODS output.,Portable,anytime,HELP
HELPINDEX,char,0.0,(/help/common.hlp/index.txt /help/common.hlp/keywords.htm common.hhk),Specifies one or more index files for SAS Help and Documentation.,Portable,startup,HELP
HELPLOC,char,0.0,( '!SASROOT/X11/native_help' '!SASROOT/X11/native_help'         '!SASUSER/classdoc' ),Specifies the location of the text and index files for the facility that is used to view the online SAS Help and Documentation.,Host,startup,HELP
HELPPORT,num,0.0,0,Specifies the port number for the remote browser client.,Portable,anytime,HELP
HELPTOC,char,0.0,(/help/helpnav.hlp/navigation.xml /help/common.hlp/toc.htm common.hhc),Specifies the table of contents files for the online SAS Help and Documentation.,Portable,startup,HELP
HORIGIN,num,,,Horizontal offset to graph origin,GRAPH,,
HOSTINFOLONG,Boolean,0.0,HOSTINFOLONG,Print operating environment information in the SAS log when SAS starts.,Portable,startup,LOGCONTROL
HPOS,num,,,Character cells per line,GRAPH,,
HPRUSERFILES,Boolean,0.0,HPRUSERFILES,Allow HPRISK users to copy files to TKGrid cluster,Portable,anytime,SECURITY
HSIZE,num,,,Horizontal plot size in inches,GRAPH,,
HTEXT,char,,,Default text height,GRAPH,,
HTTITLE,char,,,Default height of first TITLE line,GRAPH,,
HTTPSERVERPORTMAX,num,0.0,0,Specifies the highest port number that can be used by the SAS HTTP server for remote browsing.,Portable,startup,COMMUNICATIONS
HTTPSERVERPORTMIN,num,0.0,0,Specifies the lowest port number that can be used by the SAS HTTP server for remote browsing.,Portable,startup,COMMUNICATIONS
IBACK,char,,,Path or fileref to background image,GRAPH,,
IBUFNO,num,0.0,10,Specifies the number of extra buffers to be allocated for navigating an index file.,Portable,anytime,SASFILES
IBUFSIZE,num,0.0,32767,Specifies the buffer page size for an index file.,Portable,anytime,SASFILES
ICONIC,Boolean,0.0,NOICONIC,Initial state of application.,Host,startup,ENVDISPLAY
IMAGEPRINT,Boolean,,IMAGEPRINT,Specifies whether images will be output,GRAPH,,
IMAGESTYLE,char,,TILE,Background image style: FIT or TILE,GRAPH,,
IMGHOST,char,0.0,,Set image server hostname.,Host,anytime,COMMUNICATIONS
IMGLOG,Boolean,0.0,NOIMGLOG,Print to the log when a file is updated by the image server.,Host,anytime,COMMUNICATIONS
IMGPORT,num,0.0,0,Port number for SAS to connect to the image server.,Host,anytime,COMMUNICATIONS
IMGSRV,Boolean,0.0,NOIMGSRV,Turn on image server so SAS files can be dynamically downloaded.,Host,anytime,COMMUNICATIONS
IMLPACKAGEPRIVATE,char,0.0,~/sas/iml/packages,Specifies the location for SAS/IML packages in the private collection.,Portable,startup,ENVFILES
IMLPACKAGEPUBLIC,char,0.0,/opt/sas/iml/packages,Specifies the location for SAS/IML packages in the public collection.,Portable,startup,ENVFILES
IMLPACKAGESYSTEM,char,0.0,!SASROOT/misc/iml/packages,Specifies the location for SAS/IML packages in the system collection.,Portable,startup,ENVFILES
IMPLMAC,Boolean,0.0,NOIMPLMAC,Checks for statement-style macros.,Portable,anytime,MACRO
INGOPTS,char,0.0,,Specifies the options to pass to the INGRES database.,Host,anytime,UNKNOWN
INITCMD,char,0.0,,"Specifies commands to open applications, or windows and text editor commands, after SAS executes the AUTOEXEC= file and the INITSTMT= value.",Portable,startup,EXECMODES
INITSTMT,char,0.0,,Specifies SAS statements to execute after any statements in the AUTOEXEC= file and before any statements from the SYSIN= file.,Portable,startup,EXECMODES
INSERT,char,0.0,,Specifies an option=value pair to insert the value at the beginning of the existing option value.,Portable,anytime,ENVFILES
INTERLACED,Boolean,,NONINTERLACED,Image interlace selection,GRAPH,,
INTERPOL,char,,,Default symbol interpolation,GRAPH,,
INTERVALDS,char,0.0,,Specifies interval=library pairs.  Library is a SAS data set that contains a custom interval data set; interval can be used in the INTNX and INTCK functions.,Portable,anytime,INPUTCONTROL
INVALIDDATA,char,0.0,.,Specifies the value that SAS assigns to a variable when invalid numeric data is encountered.,Portable,anytime,INPUTCONTROL
IPADDRESS,Boolean,0.0,NOIPADDRESS,Enables the IP address to appear in SAS/CONNECT messages when using TCP/IP.,Portable,startup,COMMUNICATIONS
ITERATION,num,,,Iteration of animation,GRAPH,,
JPEGQUALITY,num,0.0,75,Specifies the JPEG quality factor that determines the ratio of image quality to the level of compression for JPEG files produced by the JPEG device driver.,Portable,anytime,ODSPRINT
JREOPTIONS,char,0.0,(           -DPFS_TEMPLATE=/pbr/sfw/sas/940/SASFoundation/9.4/misc/tkjava/qrpfstpt.xml         -Djava.class.path=/pbr/sfw/sas/940/SASVersionedJarRepository/eclipse/plugins/sas.launcher.jar         -Djava.security.auth.login.config=/pbr/sfw/sas/940/SASFoundation/9.4/misc/tkjava/sas.login.config         -Djava.security.policy=/pbr/sfw/sas/940/SASFoundation/9.4/misc/tkjava/sas.policy         -Djava.system.class.loader=com.sas.app.AppClassLoader         -Dlog4j.configuration=file:/pbr/sfw/sas/940/SASFoundation/9.4/misc/tkjava/sas.log4j.properties         -Dsas.app.class.path=/pbr/sfw/sas/940/SASVersionedJarRepository/eclipse/plugins/tkjava.jar         -Dsas.ext.config=/pbr/sfw/sas/940/SASFoundation/9.4/misc/tkjava/sas.java.ext.config         -Dtkj.app.launch.config=/pbr/sfw/sas/940/SASVersionedJarRepository/picklist               -XX:-UserPerfData     -Xss2m     -Xms512m     -Xmx4096m     -Djava.awt.headless=true  ),Specifies the Java Runtime Environment options for SAS.,Host,startup,EXECMODES
KEYMAP,char,,DEFAULT,Input character map for hardware and software text,GRAPH,,
LABEL,Boolean,0.0,LABEL,Enables procedures to use labels with variables.,Portable,anytime,LISTCONTROL
LABELCHKPT,Boolean,0.0,NOLABELCHKPT,"For batch programs, enables the recording of checkpoint-restart data for labeled code sections.",Portable,startup,ERRORHANDLING
LABELCHKPTLIB,char,0.0,WORK,Specifies the libref of the library where the checkpoint-restart data is saved for labeled code sections.,Portable,startup,ERRORHANDLING
LABELRESTART,Boolean,0.0,NOLABELRESTART,"Enables restart mode, which executes batch programs using checkpoint-restart data that is collected at labeled code sections.",Portable,startup,ERRORHANDLING
LEFTMARGIN,char,0.0,0.000 IN,Specifies the print margin for the left side of the page.,Portable,anytime,ODSPRINT
LFACTOR,num,,,Hardware line thickness factor,GRAPH,,
LINESIZE,num,0.0,132,Specifies the line size for the SAS log and for SAS procedure output for the LISTING destination.,Portable,anytime,LOG_LISTCONTROL
LOADMEMSIZE,num,0.0,0,Specifies a suggested amount of memory that is needed for executable programs loaded by SAS.,Host,startup,MEMORY
LOCALE,char,0.0,EN_IN,"Specifies a set of attributes in a SAS session that reflect the language, local conventions, and culture for a geographical region.",Host,anytime,LANGUAGECONTROL
LOCALEDATA,char,0.0,SASLOCALE,Specifies the location of the locale database.,Portable,startup,LANGUAGECONTROL
LOCKDOWN,Boolean,0.0,NOLOCKDOWN,Specifies that access to files and certain SAS features will be restricted. This feature is only applicable for a SAS session executing in a batch or server pro,Portable,startup,EXECMODES
LOG,char,0.0,,Specifies a location for the SAS log when SAS is running in batch mode.,Host,startup,ENVFILES
LOGAPPLNAME,char,0.0,,Specifies a SAS session name for SAS logging.,Portable,startup,LOGCONTROL
LOGCONFIGLOC,char,0.0,/pbr/biconfig/940/Lev1/SASApp/WorkspaceServer/logconfig.xml,Specifies the name of the XML configuration file or a basic logging configuration that is used to initialize the SAS logging facility.,Portable,startup,EXECMODES
LOGLANGCHG,Boolean,0.0,LOGLANGCHG,Enables changing the language of the SAS log when the LOCALE= option is changed.,Portable,startup,LOG_LISTCONTROL
LOGLANGENG,Boolean,0.0,NOLOGLANGENG,Write SAS log messages in English when the LOCALE= option is set after SAS starts.,Portable,startup,LANGUAGECONTROL
LOGPARM,char,0.0,WRITE=BUFFERED ROLLOVER=NONE OPEN=REPLACE,"Specifies when SAS log files are opened, closed, and according to the LOG= system option, how they are named.",Portable,startup,LOGCONTROL
LPTYPE,char,0.0,,Specifies the UNIX command that is used to print files.,Host,anytime,LISTCONTROL
LRECL,num,0.0,32767,Specifies the default logical record length to use for reading and writing external files.,Portable,anytime,EXTFILES
LSWLANG,char,0.0,LOCALE,Specifies the language for SAS log and ODS messages when the LOCALE= option is set after SAS starts.,Portable,startup,LANGUAGECONTROL
MACRO,Boolean,0.0,MACRO,Enables the macro facility.,Portable,startup,MACRO
MAPEBCDICTOASCII,char,0.0,,Specifies the transcoding table that is used to convert characters from ASCII to EBCDIC and EBCDIC to ASCII.,Portable,startup,LANGUAGECONTROL
MAPS,char,0.0,!SASROOT/maps,Specifies the location of SAS/GRAPH map data sets.,Portable,anytime,GRAPHICS
MAPSGFK,char,0.0,!SASROOT/mapsgfk,Specifies the location of GfK maps.,Portable,startup,GRAPHICS
MAPSSAS,char,0.0,!SASROOT/maps,Specifies the location of SAS map data sets.,Portable,startup,GRAPHICS
MAUTOCOMPLOC,Boolean,0.0,NOMAUTOCOMPLOC,Displays the autocall macro source location in the SAS log when the autocall macro is compiled.,Portable,anytime,MACRO
MAUTOLOCDISPLAY,Boolean,0.0,NOMAUTOLOCDISPLAY,Enables the macro facility to display the autocall macro source location in the log when the autocall macro is invoked.,Portable,anytime,MACRO
MAUTOLOCINDES,Boolean,0.0,NOMAUTOLOCINDES,Prepends the full pathname of the autocall macro source file to the autocall macro catalog entry description field in the WORK.SASMACR catalog.,Portable,anytime,MACRO
MAUTOSOURCE,Boolean,0.0,MAUTOSOURCE,Enables the macro autocall feature.,Portable,anytime,MACRO
MAXMEMQUERY,num,0.0,268435456,"For certain procedures, specifies the maximum amount of memory that can be allocated per request.",Host,anytime,MEMORY
MAXSEGRATIO,num,0.0,75,Specifies the upper limit for the percentage of index segments that the SPD Engine identifies as containing the value referenced in the WHERE expression.,Portable,anytime,PERFORMANCE
MCOMPILE,Boolean,0.0,MCOMPILE,Allows new macro definitions.,Portable,anytime,MACRO
MCOMPILENOTE,char,0.0,NONE,Specifies what to write to the SAS log when a macro compiles successfully.,Portable,anytime,MACRO
MCOVERAGE,Boolean,0.0,NOMCOVERAGE,Enables the generation of coverage analysis data for SAS macros.,Portable,anytime,MACRO
MCOVERAGELOC,char,0.0,,Specifies the location of the macro coverage analysis data file.,Portable,anytime,MACRO
MEMSIZE,num,0.0,4294967296,Specifies the limit on the amount of virtual memory that can be used during a SAS session.,Host,startup,PERFORMANCE
MERGENOBY,char,0.0,NOWARN,Specifies the type of message that is issued when MERGE processing occurs without an associated BY statement.,Portable,anytime,SASFILES
MERROR,Boolean,0.0,MERROR,Issues a warning message for an unresolved macro reference.,Portable,anytime,MACRO
METAAUTORESOURCES,char,0.0,SASApp,Specifies the metadata resources that are assigned when SAS starts.,Portable,startup,META
METACONNECT,char,0.0,,Specifies the profile from the metadata user connection profiles that is used to connect to the SAS Metadata Server.,Portable,anytime,META
METAENCRYPTALG,char,0.0,SASPROPRIETARY,Specifies the type of encryption to use to communicate with the SAS Metadata Server.,Portable,startup,META
METAENCRYPTLEVEL,char,0.0,CREDENTIALS,Specifies the level of encryption that is used to communicate with the SAS Metadata Server.,Portable,startup,META
METAID,char,0.0,,Specifies the ID of the SAS Metadata Server.,Portable,startup,META
METAPASS,char,0.0,xxxxxxxx,Specifies the SAS Metadata Server password.,Portable,anytime,META
METAPORT,num,0.0,8561,Specifies the TCP port for the SAS Metadata Server.,Portable,anytime,META
METAPROFILE,char,0.0,/pbr/biconfig/940/Lev1/metadataConfig.xml,Specifies the XML document that contains SAS Metadata Server user connection profiles.,Portable,startup,META
METAPROTOCOL,char,0.0,BRIDGE,Specifies the network profile to use to connect to the SAS Metadata Server.,Portable,anytime,META
METAREPOSITORY,char,0.0,Foundation,Specifies the name of the SAS Metadata Server Repository.,Portable,anytime,META
METASERVER,char,0.0,odaomr-apse1.oda.sas.com,Specifies the host name or address of the SAS Metadata Server.,Portable,anytime,META
METASPN,char,0.0,,Specifies the service principal name (SPN) for the SAS Metadata Server.,Portable,anytime,META
METAUSER,char,0.0,,Specifies the user ID that is used to connect to the SAS Metadata Server.,Portable,anytime,META
MEXECNOTE,Boolean,0.0,NOMEXECNOTE,Displays the macro execution information in the SAS log when the macro is invoked.,Portable,anytime,MACRO
MEXECSIZE,num,0.0,65536,Specifies the maximum macro size that can be executed in memory.,Portable,anytime,PERFORMANCE
MFILE,Boolean,0.0,NOMFILE,Writes the MPRINT output to an external file.,Portable,anytime,MACRO
MINDELIMITER,char,0.0,,Specifies the character delimiter for the macro IN operator.,Portable,anytime,MACRO
MINOPERATOR,Boolean,0.0,NOMINOPERATOR,Enables IN logical operators in expressions.,Portable,anytime,MACRO
MINPARTSIZE,num,0.0,16777216,Specifies the minimum size of the data component partitions for SPD Engine data sets.,Portable,startup,PERFORMANCE
MISSING,char,0.0,.,Specifies the character to print for missing numeric values.,Portable,anytime,LOG_LISTCONTROL
MLOGIC,Boolean,0.0,NOMLOGIC,Traces macro execution and writes the results to the SAS log.,Portable,anytime,MACRO
MLOGICNEST,Boolean,0.0,NOMLOGICNEST,Displays the macro nesting information in the SAS log for MLOGIC output.,Portable,anytime,MACRO
MPRINT,Boolean,0.0,NOMPRINT,Displays the SAS statements that are generated by macro execution.,Portable,anytime,MACRO
MPRINTNEST,Boolean,0.0,NOMPRINTNEST,Displays the macro nesting information from the MPRINT output in the SAS log.,Portable,anytime,MACRO
MRECALL,Boolean,0.0,NOMRECALL,Searches autocall libraries for an undefined macro each time an attempt is made to invoke the macro.,Portable,anytime,MACRO
MREPLACE,Boolean,0.0,MREPLACE,Enables updates to macro definitions in the Work library.,Portable,anytime,MACRO
MSG,char,0.0,!SASROOT/sasmsg,Specifies the path to the library that contains SAS messages.,Host,startup,ENVFILES
MSGCASE,Boolean,0.0,NOMSGCASE,"Specifies that SAS writes notes, warnings, and error messages in uppercase letters.",Host,startup,LOGCONTROL
MSGLEVEL,char,0.0,N,Specifies the level of detail in SAS log messages.,Portable,anytime,LOGCONTROL
MSTORED,Boolean,0.0,NOMSTORED,Searches for stored compiled macros that are in the library specified by the SASMSTORE= option.,Portable,anytime,MACRO
MSYMTABMAX,num,0.0,4194304,Specifies the maximum amount of memory available to the macro variable symbol table or tables.,Portable,anytime,MACRO
MULTENVAPPL,Boolean,0.0,NOMULTENVAPPL,List only SAS fonts in the font selector window of a SAS application.,Portable,anytime,EXECMODES
MVARSIZE,num,0.0,65534,Specifies the maximum size for a macro variable that is stored in memory.,Portable,anytime,MACRO
NAME,char,0.0,,Resource Name of Application.,Host,startup,ENVDISPLAY
NETENCRYPT,Boolean,0.0,NONETENCRYPT,Requires encryption for client/server data transfers.,Portable,anytime,COMMUNICATIONS
NETENCRYPTALGORITHM,char,0.0,TRIPLEDES,Specifies one or more algorithms to use for encrypted client/server data transfers.,Portable,anytime,COMMUNICATIONS
NETENCRYPTKEYLEN,num,0.0,0,Specifies the key length that is used by the encryption algorithm for encrypted client/server data transfers.,Portable,anytime,COMMUNICATIONS
NEWS,char,0.0,!SASROOT/misc/base/news,Specifies the location of the news file that is to be written to the SAS log immediately after the header.,Portable,startup,LOGCONTROL
NLDECSEPARATOR,Boolean,0.0,NONLDECSEPARATOR,Enables numeric output to format using the decimal separator for the locale.,Portable,anytime,LANGUAGECONTROL
NLSCOMPATMODE,Boolean,0.0,NONLSCOMPATMODE,Ensures language compatibility with previous releases of SAS.,Host,startup,LANGUAGECONTROL
NOTES,Boolean,0.0,NONOTES,SAS writes notes to the SAS log.,Portable,anytime,LOGCONTROL
NUMBER,Boolean,0.0,NUMBER,Prints the page number on the first title line of each page of SAS output.,Portable,anytime,LOG_LISTCONTROL
OBJECTSERVER,Boolean,0.0,OBJECTSERVER,Enables SAS to run as an Integrated Object Model (IOM) server.,Portable,startup,EXECMODES
OBS,num,0.0,9223372036854775807,"Specifies the observation that is used to determine the last observation to process, or specifies the last record to process.",Portable,anytime,SASFILES
ODSDEST,char,0.0,AUTO,Specifies the default ODS destination.,Portable,startup,ODSPRINT
ODSGRAPHICS,char,0.0,AUTO,Specifies the setting for ODS graphics.,Portable,startup,ODSPRINT
ODSLANGCHG,Boolean,0.0,ODSLANGCHG,Enables the language of the SAS message text in ODS output to change when the LOCALE option is set after start up.,Portable,startup,ODSPRINT
ODSSTYLE,char,0.0,AUTO,Specifies the ODS HTML default style.,Portable,anytime,ODSPRINT
OFFSHADOW,char,,"( 0.0625 in., -0.0625 in. )","X, Y offset for dropshadows",GRAPH,,
OLAPCONFIG,char,0.0,,Specifies the name of the XML configuration file that is used to initialize an OLAP server.,Portable,startup,EXECMODES
OPLIST,Boolean,0.0,NOOPLIST,Writes the settings of SAS system options to the SAS log.,Host,startup,LOGCONTROL
ORIENTATION,char,0.0,PORTRAIT,Specifies the paper orientation to use when printing to a printer.,Portable,anytime,ODSPRINT
OVP,Boolean,0.0,NOOVP,Enables overprinting of error messages to make them bold.,Portable,anytime,LOGCONTROL
PAGEBREAKINITIAL,Boolean,0.0,NOPAGEBREAKINITIAL,Begins SAS log and procedure output for the LISTING destination on a new page.,Portable,startup,LOG_LISTCONTROL
PAGENO,num,0.0,1,Resets the SAS output page number.,Portable,anytime,LISTCONTROL
PAGESIZE,num,0.0,32767,Specifies the number of lines that compose a page of the SAS log and SAS output.,Portable,anytime,LOG_LISTCONTROL
PAPERDEST,char,,,Paper destination selection,GRAPH,,
PAPERDEST,char,0.0,,Specifies the name of the output bin to receive printed output.,Portable,anytime,ODSPRINT
PAPERFEED,num,,,Amount of paper to feed on drum plotters,GRAPH,,
PAPERLIMIT,num,,,Physical width of the plotting paper,GRAPH,,
PAPERSIZE,char,,,Paper size selection,GRAPH,,
PAPERSIZE,char,0.0,A4,Specifies the paper size to use for printing.,Portable,anytime,ODSPRINT
PAPERSOURCE,char,,,Paper source selection,GRAPH,,
PAPERSOURCE,char,0.0,,Specifies the name of the paper bin to use for printing.,Portable,anytime,ODSPRINT
PAPERTYPE,char,,,Paper type selection,GRAPH,,
PAPERTYPE,char,0.0,PLAIN,Specifies the type of paper to use for printing.,Portable,anytime,ODSPRINT
PARM,char,0.0,,Specifies a parameter string that is passed to an external program.,Portable,anytime,ENVFILES
PARMCARDS,char,0.0,FT15F001,Specifies the file reference to open when SAS encounters the PARMCARDS statement in a procedure.,Portable,anytime,ENVFILES
PATH,char,0.0,( !SASROOT/dbcs/sasexe !SASROOT/sasexe ),Specifies one or more search paths for SAS executable files.,Host,startup,ENVFILES
PCLIP,Boolean,,NOPCLIP,Specifies whether a clipped polygon is stored with the graph in the catalog entry in its clipped or unclipped form.,GRAPH,,
PDFACCESS,Boolean,0.0,PDFACCESS,Enables screen readers to read PDF text and graphics.,Portable,anytime,PDF
PDFASSEMBLY,Boolean,0.0,NOPDFASSEMBLY,Enables assembly of PDF documents.,Portable,anytime,PDF
PDFCOMMENT,Boolean,0.0,NOPDFCOMMENT,Enables comments in PDF documents to be modified.,Portable,anytime,PDF
PDFCONTENT,Boolean,0.0,NOPDFCONTENT,Enables PDF document contents to be modified.,Portable,anytime,PDF
PDFCOPY,Boolean,0.0,PDFCOPY,Enables PDF document text and graphics to be copied.,Portable,anytime,PDF
PDFFILLIN,Boolean,0.0,PDFFILLIN,Enables PDF forms to be filled in.,Portable,anytime,PDF
PDFPAGELAYOUT,char,0.0,DEFAULT,Specifies the page layout for PDF documents.,Portable,anytime,PDF
PDFPAGEVIEW,char,0.0,DEFAULT,Specifies the page viewing mode for PDF documents.,Portable,anytime,PDF
PDFPASSWORD,char,0.0,xxxxxxxx,Specifies the password to use to open a PDF document and the password used by a PDF document owner.,Portable,anytime,SECURITY
PDFPRINT,char,0.0,HRES,Specifies the resolution to print PDF documents.,Portable,anytime,PDF
PDFSECURITY,char,0.0,NONE,Specifies the level of encryption to use for PDF documents.,Portable,anytime,SECURITY
PENMOUNTS,num,,0,Number of pens/colors to be used,GRAPH,,
PENSORT,Boolean,,PENSORT,Sort plotter colors,GRAPH,,
PIEFILL,Boolean,,PIEFILL,Use hardware pie fill generator,GRAPH,,
POLYGONCLIP,Boolean,,POLYGONCLIP,Allows polygons with a device dependent pattern to be clipped.,GRAPH,,
POLYGONFILL,Boolean,,POLYGONFILL,Use hardware polygon fill generator,GRAPH,,
POSTGEPILOG,char,,,Data to send after the GEPILOG,GRAPH,,
POSTGPROLOG,char,,,Data to send after the GPROLOG,GRAPH,,
POSTGRAPH,char,,,Host command executed after each graph,GRAPH,,
PPDFILE,char,,,Printer Product Description file,GRAPH,,
PREGEPILOG,char,,,Data to send before the GEPILOG,GRAPH,,
PREGPROLOG,char,,,Data to send before the GPROLOG,GRAPH,,
PREGRAPH,char,,????,Host command executed before each graph,GRAPH,,
PRESENV,Boolean,0.0,NOPRESENV,Specifies that collecting data for the preservation of the SAS environment is enabled.,Portable,anytime,EXECMODES
PRIMARYPROVIDERDOMAIN,char,0.0,,Specifies the domain name of the primary authentication provider.,Portable,startup,EXECMODES
PRINT,char,0.0,,Specifies a location for SAS output when running in batch mode.,Host,startup,ENVFILES
PRINTCMD,char,0.0,,Specifies the print command that SAS is to use.,Host,anytime,LISTCONTROL
PRINTERPATH,char,0.0,,Specifies the name of a registered printer to use for Universal Printing.,Portable,anytime,ODSPRINT
PRINTINIT,Boolean,0.0,NOPRINTINIT,Initializes the SAS procedure output file for the LISTING destination and resets file attributes.,Portable,startup,LISTCONTROL
PRINTMSGLIST,Boolean,0.0,PRINTMSGLIST,Specifies to print the entire list of messages to the SAS log.,Portable,anytime,LOGCONTROL
PROMPT,Boolean,,PROMPT,Allow/disallow user prompting by device driver,GRAPH,,
PROMPTCHARS,char,,'000A010D05000000'X,Terminal control characters,GRAPH,,
PROTOLIBS,char,0.0,NONE,Specifies the paths that PROC PROTO can use to find and register load modules.,Portable,startup,ENVFILES
QUOTELENMAX,Boolean,0.0,QUOTELENMAX,Writes a warning message to the SAS log if a quoted string exceeds the maximum length allowed.,Portable,anytime,ERRORHANDLING
REALMEMSIZE,num,0.0,0,Specifies the amount of real memory SAS can expect to allocate.,Host,startup,MEMORY
RENDER,char,,MEMORY,Rendering inactive,GRAPH,,
RENDERLIB,char,,WORK,Library to store pre-rendered SAS fonts.,GRAPH,,
REPAINT,num,,,Number of passes made in drawing a graph,GRAPH,,
REPL,char,0.0,,Specify the src and dest for files handled by the image server.,Host,anytime,COMMUNICATIONS
REPLACE,Boolean,0.0,REPLACE,Enables replacement of permanent SAS data sets.,Portable,anytime,SASFILES
REUSE,char,0.0,NO,Specifies whether SAS reuses space when observations are added to a compressed SAS data set.,Portable,anytime,SASFILES
REVERSE,Boolean,,NOREVERSE,Reverse order of output,GRAPH,,
REVERSE,Boolean,0.0,NOREVERSE,"Use black for white, and vice-versa.",Host,startup,ENVDISPLAY
RIGHTMARGIN,char,0.0,0.000 IN,Specifies the print margin for the right side of the page.,Portable,anytime,ODSPRINT
RLANG,Boolean,0.0,NORLANG,Enables SAS to execute R language statements.,Portable,startup,SECURITY
ROTATE,char,,NOROTATE,Rotate plot ninety degrees,GRAPH,,
RSASIOTRANSERROR,Boolean,0.0,RSASIOTRANSERROR,Displays a transcoding error when illegal values are read from a remote application.,Portable,anytime,SASFILES
RSASUSER,Boolean,0.0,RSASUSER,Opens the Sasuser library in Read-Only mode.,Portable,startup,ENVFILES
RTRACE,char,0.0,NONE,Specifies whether to produce a list of resources that are read or loaded during a SAS session.,Host,startup,LOGCONTROL
RTRACELOC,char,0.0,,Specifies the pathname for the file that records the list of resources that are read or loaded during a SAS session.,Host,anytime,ENVFILES
RV,Boolean,0.0,NORV,"Use Black for White, and vice-versa.",Host,startup,ENVDISPLAY
S,num,0.0,0,"Specifies the length of statements on each line of a source statement, and the length of data on lines that follow a DATALINES statement.",Portable,anytime,INPUTCONTROL
S2,num,0.0,0,"Specifies the length of statements of each line of a source statement from an %%INCLUDE statement, an AUTOEXEC= file, or an autocall macro file.",Portable,anytime,INPUTCONTROL
S2V,num,0.0,0,"Specifies the column to begin reading a file with variable length records that is specified in an %%INCLUDE statement, an autoexec file, or an autocall macro.",Portable,anytime,INPUTCONTROL
SASAUTOS,char,0.0,"( ""SASEnvironment/SASMacro"" '!SASROOT/forecastbat/sasmacro'         '!SASROOT/sasautos' )",Specifies the location of one or more autocall libraries.,Portable,anytime,MACRO
SASCMD,char,0.0,,Specifies the command that starts a server session on a symmetric multiprocessing (SMP) computer.,Portable,anytime,COMMUNICATIONS
SASFRSCR,char,0.0,#LN00017,"A read-only option that contains the fileref, generated by the SASSCRIPT option,  for SAS/CONNECT server sign-on script files.",Portable,anytime,COMMUNICATIONS
SASHELP,char,0.0,( '!SASROOT/nls/u8/sascfg'         '!SASROOT/nls/u8/sashelp' '!SASROOT/nls/en/sascfg'         '!SASROOT/sashelp' ),Specifies the location of the Sashelp library.,Portable,startup,ENVFILES
SASHOST,char,0.0,,Specify path of sashost dll to be loaded.,Host,startup,ENVFILES
SASMSTORE,char,0.0,,Specifies the libref of a SAS catalog for stored compiled SAS macros.,Portable,anytime,MACRO
SASSCRIPT,char,0.0,(          '!SASROOT/misc/connect'         '!SASROOT/samples/connect'         ),Specifies one or more locations of SAS/CONNECT server sign-on script files.,Portable,anytime,COMMUNICATIONS
SASUSER,char,0.0,~/sasuser.v94,Specifies a libref or a path that identifies a library for the user's profile catalog.,Portable,startup,ENVFILES
SECPACKAGE,char,0.0,Negotiate,Specifies the security package that the IOM server uses to authenticate incoming client connections.,Portable,startup,SECURITY
SECPACKAGELIST,char,0.0,"Kerberos,NTLM",Specifies the security authentication packages that are used by the server.,Portable,startup,SECURITY
SELECTIONTIMEOUT,char,0.0,,Timeout in milliseconds,Host,startup,ENVDISPLAY
SEQ,num,0.0,8,Specifies the length of the numeric portion of the sequence field in input source lines or data lines.,Portable,anytime,INPUTCONTROL
SEQENGINE,char,0.0,TAPE,Specifies the sequential engine to be used for accessing tapes and pipes.,Host,anytime,SASFILES
SERROR,Boolean,0.0,SERROR,Issues a warning message when a macro variable reference does not match a macro variable.,Portable,anytime,MACRO
SERVICESBASEURL,char,0.0,,Specifies the URL for services.,Portable,startup,COMMUNICATIONS
SESSREF,char,0.0,CASAUTO,Identify the name to associate with a generated CAS session.,Portable,anytime,CAS
SET,char,0.0,[SASROOT = /pbr/sfw/sas/940/SASFoundation/9.4] [SASAUTOS = (                  '!SASROOT/sasautos'         )] [SAMPSRC = (                  '!SASROOT/samples/accesssample'         '!SASROOT/samples/base'         '!SASROOT/samples/connect'         '!SASROOT/samples/dbi'         '!SASROOT/samples/dmine'         '!SASROOT/samples/ets'         '!SASROOT/samples/graph'         '!SASROOT/samples/hpf'         '!SASROOT/samples/hps'         '!SASROOT/samples/hpstat'         '!SASROOT/samples/iml'         '!SASROOT/samples/inttech'         '!SASROOT/samples/or'         '!SASROOT/samples/postgres'         '!SASROOT/samples/qc'         '!SASROOT/samples/stat'         '!SASROOT/samples/tmine'         )] [SAMPSIO = (                  '!SASROOT/samples/accesssample'         '!SASROOT/samples/base'         '!SASROOT/samples/connect'         '!SASROOT/samples/dbi'         '!SASROOT/samples/dmine'         '!SASROOT/samples/ets'         '!SASROOT/samples/graph'         '!SASROOT/samples/hpf'         '!SASROOT/samples/hps',Defines an environment variable.,Host,anytime,ENVFILES
