optname,opttype,offset,setting,optdesc,level,optstart,group
MPRINTNEST,Boolean,0.0,NOMPRINTNEST,Displays the macro nesting information from the MPRINT output in the SAS log.,Portable,anytime,MACRO
MRECALL,Boolean,0.0,NOMRECALL,Searches autocall libraries for an undefined macro each time an attempt is made to invoke the macro.,Portable,anytime,MACRO
MREPLACE,Boolean,0.0,MREPLACE,Enables updates to macro definitions in the Work library.,Portable,anytime,MACRO
MSGLEVEL,char,0.0,N,Specifies the level of detail in SAS log messages.,Portable,anytime,LOGCONTROL
MSTORED,Boolean,0.0,NOMSTORED,Searches for stored compiled macros that are in the library specified by the SASMSTORE= option.,Portable,anytime,MACRO
MSYMTABMAX,num,0.0,4194304,Specifies the maximum amount of memory available to the macro variable symbol table or tables.,Portable,anytime,MACRO
MULTENVAPPL,Boolean,0.0,NOMULTENVAPPL,List only SAS fonts in the font selector window of a SAS application.,Portable,anytime,EXECMODES
MVARSIZE,num,0.0,65534,Specifies the maximum size for a macro variable that is stored in memory.,Portable,anytime,MACRO
NETENCRYPT,Boolean,0.0,NONETENCRYPT,Requires encryption for client/server data transfers.,Portable,anytime,COMMUNICATIONS
NETENCRYPTALGORITHM,char,0.0,TRIPLEDES,Specifies one or more algorithms to use for encrypted client/server data transfers.,Portable,anytime,COMMUNICATIONS
NETENCRYPTKEYLEN,num,0.0,0,Specifies the key length that is used by the encryption algorithm for encrypted client/server data transfers.,Portable,anytime,COMMUNICATIONS
NEWS,char,0.0,!SASROOT/misc/base/news,Specifies the location of the news file that is to be written to the SAS log immediately after the header.,Portable,startup,LOGCONTROL
NLDECSEPARATOR,Boolean,0.0,NONLDECSEPARATOR,Enables numeric output to format using the decimal separator for the locale.,Portable,anytime,LANGUAGECONTROL
NOTES,Boolean,0.0,NONOTES,SAS writes notes to the SAS log.,Portable,anytime,LOGCONTROL
NUMBER,Boolean,0.0,NUMBER,Prints the page number on the first title line of each page of SAS output.,Portable,anytime,LOG_LISTCONTROL
OBJECTSERVER,Boolean,0.0,OBJECTSERVER,Enables SAS to run as an Integrated Object Model (IOM) server.,Portable,startup,EXECMODES
OBS,num,0.0,9223372036854775807,"Specifies the observation that is used to determine the last observation to process, or specifies the last record to process.",Portable,anytime,SASFILES
ODSDEST,char,0.0,AUTO,Specifies the default ODS destination.,Portable,startup,ODSPRINT
ODSGRAPHICS,char,0.0,AUTO,Specifies the setting for ODS graphics.,Portable,startup,ODSPRINT
ODSLANGCHG,Boolean,0.0,ODSLANGCHG,Enables the language of the SAS message text in ODS output to change when the LOCALE option is set after start up.,Portable,startup,ODSPRINT
ODSSTYLE,char,0.0,AUTO,Specifies the ODS HTML default style.,Portable,anytime,ODSPRINT
OLAPCONFIG,char,0.0,,Specifies the name of the XML configuration file that is used to initialize an OLAP server.,Portable,startup,EXECMODES
ORIENTATION,char,0.0,PORTRAIT,Specifies the paper orientation to use when printing to a printer.,Portable,anytime,ODSPRINT
OVP,Boolean,0.0,NOOVP,Enables overprinting of error messages to make them bold.,Portable,anytime,LOGCONTROL
PAGEBREAKINITIAL,Boolean,0.0,NOPAGEBREAKINITIAL,Begins SAS log and procedure output for the LISTING destination on a new page.,Portable,startup,LOG_LISTCONTROL
PAGENO,num,0.0,1,Resets the SAS output page number.,Portable,anytime,LISTCONTROL
PAGESIZE,num,0.0,32767,Specifies the number of lines that compose a page of the SAS log and SAS output.,Portable,anytime,LOG_LISTCONTROL
PAPERDEST,char,0.0,,Specifies the name of the output bin to receive printed output.,Portable,anytime,ODSPRINT
PAPERSIZE,char,0.0,A4,Specifies the paper size to use for printing.,Portable,anytime,ODSPRINT
PAPERSOURCE,char,0.0,,Specifies the name of the paper bin to use for printing.,Portable,anytime,ODSPRINT
PAPERTYPE,char,0.0,PLAIN,Specifies the type of paper to use for printing.,Portable,anytime,ODSPRINT
PARM,char,0.0,,Specifies a parameter string that is passed to an external program.,Portable,anytime,ENVFILES
PARMCARDS,char,0.0,FT15F001,Specifies the file reference to open when SAS encounters the PARMCARDS statement in a procedure.,Portable,anytime,ENVFILES
PDFACCESS,Boolean,0.0,PDFACCESS,Enables screen readers to read PDF text and graphics.,Portable,anytime,PDF
PDFASSEMBLY,Boolean,0.0,NOPDFASSEMBLY,Enables assembly of PDF documents.,Portable,anytime,PDF
PDFCOMMENT,Boolean,0.0,NOPDFCOMMENT,Enables comments in PDF documents to be modified.,Portable,anytime,PDF
PDFCONTENT,Boolean,0.0,NOPDFCONTENT,Enables PDF document contents to be modified.,Portable,anytime,PDF
PDFCOPY,Boolean,0.0,PDFCOPY,Enables PDF document text and graphics to be copied.,Portable,anytime,PDF
PDFFILLIN,Boolean,0.0,PDFFILLIN,Enables PDF forms to be filled in.,Portable,anytime,PDF
PDFPAGELAYOUT,char,0.0,DEFAULT,Specifies the page layout for PDF documents.,Portable,anytime,PDF
PDFPAGEVIEW,char,0.0,DEFAULT,Specifies the page viewing mode for PDF documents.,Portable,anytime,PDF
PDFPASSWORD,char,0.0,xxxxxxxx,Specifies the password to use to open a PDF document and the password used by a PDF document owner.,Portable,anytime,SECURITY
PDFPRINT,char,0.0,HRES,Specifies the resolution to print PDF documents.,Portable,anytime,PDF
PDFSECURITY,char,0.0,NONE,Specifies the level of encryption to use for PDF documents.,Portable,anytime,SECURITY
PRESENV,Boolean,0.0,NOPRESENV,Specifies that collecting data for the preservation of the SAS environment is enabled.,Portable,anytime,EXECMODES
PRIMARYPROVIDERDOMAIN,char,0.0,,Specifies the domain name of the primary authentication provider.,Portable,startup,EXECMODES
PRINTERPATH,char,0.0,,Specifies the name of a registered printer to use for Universal Printing.,Portable,anytime,ODSPRINT
PRINTINIT,Boolean,0.0,NOPRINTINIT,Initializes the SAS procedure output file for the LISTING destination and resets file attributes.,Portable,startup,LISTCONTROL
PRINTMSGLIST,Boolean,0.0,PRINTMSGLIST,Specifies to print the entire list of messages to the SAS log.,Portable,anytime,LOGCONTROL
PROTOLIBS,char,0.0,NONE,Specifies the paths that PROC PROTO can use to find and register load modules.,Portable,startup,ENVFILES
QUOTELENMAX,Boolean,0.0,QUOTELENMAX,Writes a warning message to the SAS log if a quoted string exceeds the maximum length allowed.,Portable,anytime,ERRORHANDLING
REPLACE,Boolean,0.0,REPLACE,Enables replacement of permanent SAS data sets.,Portable,anytime,SASFILES
REUSE,char,0.0,NO,Specifies whether SAS reuses space when observations are added to a compressed SAS data set.,Portable,anytime,SASFILES
RIGHTMARGIN,char,0.0,0.000 IN,Specifies the print margin for the right side of the page.,Portable,anytime,ODSPRINT
RLANG,Boolean,0.0,NORLANG,Enables SAS to execute R language statements.,Portable,startup,SECURITY
RSASIOTRANSERROR,Boolean,0.0,RSASIOTRANSERROR,Displays a transcoding error when illegal values are read from a remote application.,Portable,anytime,SASFILES
RSASUSER,Boolean,0.0,RSASUSER,Opens the Sasuser library in Read-Only mode.,Portable,startup,ENVFILES
S,num,0.0,0,"Specifies the length of statements on each line of a source statement, and the length of data on lines that follow a DATALINES statement.",Portable,anytime,INPUTCONTROL
S2,num,0.0,0,"Specifies the length of statements of each line of a source statement from an %%INCLUDE statement, an AUTOEXEC= file, or an autocall macro file.",Portable,anytime,INPUTCONTROL
S2V,num,0.0,0,"Specifies the column to begin reading a file with variable length records that is specified in an %%INCLUDE statement, an autoexec file, or an autocall macro.",Portable,anytime,INPUTCONTROL
SASAUTOS,char,0.0,"( ""SASEnvironment/SASMacro"" '!SASROOT/forecastbat/sasmacro'         '!SASROOT/sasautos' )",Specifies the location of one or more autocall libraries.,Portable,anytime,MACRO
SASCMD,char,0.0,,Specifies the command that starts a server session on a symmetric multiprocessing (SMP) computer.,Portable,anytime,COMMUNICATIONS
SASFRSCR,char,0.0,#LN00017,"A read-only option that contains the fileref, generated by the SASSCRIPT option,  for SAS/CONNECT server sign-on script files.",Portable,anytime,COMMUNICATIONS
SASHELP,char,0.0,( '!SASROOT/nls/u8/sascfg'         '!SASROOT/nls/u8/sashelp' '!SASROOT/nls/en/sascfg'         '!SASROOT/sashelp' ),Specifies the location of the Sashelp library.,Portable,startup,ENVFILES
SASMSTORE,char,0.0,,Specifies the libref of a SAS catalog for stored compiled SAS macros.,Portable,anytime,MACRO
SASSCRIPT,char,0.0,(          '!SASROOT/misc/connect'         '!SASROOT/samples/connect'         ),Specifies one or more locations of SAS/CONNECT server sign-on script files.,Portable,anytime,COMMUNICATIONS
SASUSER,char,0.0,~/sasuser.v94,Specifies a libref or a path that identifies a library for the user's profile catalog.,Portable,startup,ENVFILES
SECPACKAGE,char,0.0,Negotiate,Specifies the security package that the IOM server uses to authenticate incoming client connections.,Portable,startup,SECURITY
SECPACKAGELIST,char,0.0,"Kerberos,NTLM",Specifies the security authentication packages that are used by the server.,Portable,startup,SECURITY
SEQ,num,0.0,8,Specifies the length of the numeric portion of the sequence field in input source lines or data lines.,Portable,anytime,INPUTCONTROL
SERROR,Boolean,0.0,SERROR,Issues a warning message when a macro variable reference does not match a macro variable.,Portable,anytime,MACRO
SERVICESBASEURL,char,0.0,,Specifies the URL for services.,Portable,startup,COMMUNICATIONS
SESSREF,char,0.0,CASAUTO,Identify the name to associate with a generated CAS session.,Portable,anytime,CAS
SETINIT,Boolean,0.0,NOSETINIT,Enables PROC SETINIT to update site licensing information in a non-windowing environment.,Portable,startup,INSTALL
SHARESESSIONCNTL,char,0.0,SERVER,Specifies whether the SAS/SHARE server has one or multiple connections to clients.,Portable,anytime,COMMUNICATIONS
SIGNONWAIT,Boolean,0.0,SIGNONWAIT,"Executes the SIGNON statement synchronously, signing on clients to the server one at a time.",Portable,anytime,COMMUNICATIONS
SKIP,num,0.0,0,Specifies the number of lines to skip at the top of each page of SAS output for the LISTING destination.,Portable,anytime,LISTCONTROL
SOLUTIONS,Boolean,0.0,SOLUTIONS,Displays the Solutions menu in SAS windows.,Portable,startup,ENVDISPLAY
SORTDUP,char,0.0,PHYSICAL,Specifies whether PROC SORT removes duplicate variables based on the DROP and KEEP options or on all data set variables.,Portable,anytime,SORT
SORTEQUALS,Boolean,0.0,SORTEQUALS,PROC SORT maintains the relative position in the output data set for observations with identical BY-variable values.,Portable,anytime,SORT
SORTSEQ,char,0.0,,Specifies a language-specific collating sequence for the SORT and SQL procedures.,Portable,anytime,SORT
SORTSIZE,char,0.0,3221225472,Specifies the amount of memory that is available to the SORT procedure.,Portable,anytime,PERFORMANCE
SORTVALIDATE,Boolean,0.0,NOSORTVALIDATE,"When a user-specified sort order is set in the sort indicator, PROC SORT verifies whether a data set is sorted according to the variables in the BY statement.",Portable,anytime,SORT
SOURCE,Boolean,0.0,SOURCE,Writes program source statements to the SAS log.,Portable,anytime,LOGCONTROL
SOURCE2,Boolean,0.0,NOSOURCE2,Writes secondary source statements from included files to the SAS log.,Portable,anytime,LOGCONTROL
SPDEFILECACHE,Boolean,0.0,NOSPDEFILECACHE,Enables caching of opened SPD Engine files.,Portable,startup,PERFORMANCE
SPDEINDEXSORTSIZE,num,0.0,33554432,Specifies the memory size for sorting index values.,Portable,anytime,PERFORMANCE
SPDEMAXTHREADS,num,0.0,0,Specifies the maximum number of threads that the SPD Engine can spawn for I/O processing.,Portable,startup,PERFORMANCE
SPDEPARALLELREAD,char,0.0,NO,Enables or disables SPD Engine parallel reads when no WHERE clause is in effect.,Portable,anytime,PERFORMANCE
SPDESORTSIZE,num,0.0,33554432,Specifies the memory size that is used for sorting by the SPD Engine.,Portable,anytime,PERFORMANCE
SPDEUTILLOC,char,0.0,,Specifies one or more locations where the SPD Engine can temporarily store utility files.,Portable,startup,PERFORMANCE
SPDEWHEVAL,char,0.0,COST,Specifies the WHERE statement evaluation process for the SPD Engine.,Portable,anytime,PERFORMANCE
SPOOL,Boolean,0.0,NOSPOOL,Writes SAS statements to a utility data set in the Work library for later use by a %%INCLUDE or %%LIST statement.,Portable,anytime,INPUTCONTROL
SQLCONSTDATETIME,Boolean,0.0,SQLCONSTDATETIME,"PROC SQL replaces references to the DATE, TIME, DATETIME, and TODAY functions with their equivalent constant values before a query executes.",Portable,anytime,SQL
SQLGENERATION,char,0.0,(NONE DBMS='TERADATA DB2 ORACLE NETEZZA ASTER GREENPLM HADOOP SAPHANA IMPALA HAWQ POSTGRES REDSHIFT SQLSVR VERTICA BIGQUERY SNOW YBRICK SPARK'),Specifies whether and when SAS procedures generate SQL for in-database processing of source data.,Portable,anytime,SQL
SQLIPONEATTEMPT,Boolean,0.0,NOSQLIPONEATTEMPT,Enable an SQL query to terminate when an implicit pass-through request fails.,Portable,anytime,SQL
SQLLDRPATH,char,0.0,,Path for Oracle bulkload.,Portable,startup,SECURITY
SQLMAPPUTTO,char,0.0,SAS_PUT,Specifies the PUT function mapping to SQL.,Portable,anytime,SQL
SQLREDUCEPUT,char,0.0,DBMS,"For PROC SQL, specifies the engine type to use to optimize a PUT function in a query.",Portable,anytime,SQL
SQLREDUCEPUTOBS,num,0.0,0,"For PROC SQL, specifies the minimum number of observations that must be in a table for PROC SQL to optimize the PUT function in a query.",Portable,anytime,SQL
SQLREDUCEPUTVALUES,num,0.0,0,"For PROC SQL, specifies the maximum number of SAS format values that can exist in a PUT function expression to optimize the PUT function in a query.",Portable,anytime,SQL
SQLREMERGE,Boolean,0.0,SQLREMERGE,PROC SQL processes queries that use remerged data.,Portable,anytime,SQL
SQLUNDOPOLICY,char,0.0,REQUIRED,Specifies how PROC SQL handles updated data if errors occur while you are updating data.,Portable,anytime,SQL
SSLCLIENTAUTH,Boolean,0.0,NOSSLCLIENTAUTH,Specifies that the server perform client authentication for a server connection.,Portable,anytime,COMMUNICATIONS
SSLCRLCHECK,Boolean,0.0,NOSSLCRLCHECK,Checks the Certificate Revocation List (CRL) when a digital certificate is validated.,Portable,anytime,COMMUNICATIONS
SSLMINPROTOCOL,char,0.0,,Specifies the minimum TLS or SSL protocol that can be negotiated when using OpenSSL.,Portable,anytime,COMMUNICATIONS
SSLMODE,char,0.0,,Specifies the TLS version and the cipher suites for SSL.,Portable,anytime,COMMUNICATIONS
SSPI,Boolean,0.0,NOSSPI,Uses the Security Support Provider Interface for single sign-on connections to IOM servers.,Portable,startup,SECURITY
STARTLIB,Boolean,0.0,NOSTARTLIB,Assigns user-defined permanent librefs when SAS starts.,Portable,startup,EXTFILES
STEPCHKPT,Boolean,0.0,NOSTEPCHKPT,Enables recording of checkpoint-restart data for DATA and PROC steps for batch programs.,Portable,startup,ERRORHANDLING
STEPCHKPTLIB,char,0.0,WORK,Specifies the libref of the library where checkpoint-restart data for DATA and PROC steps is saved.,Portable,startup,ERRORHANDLING
STEPRESTART,Boolean,0.0,NOSTEPRESTART,Enables restart mode which executes batch programs using checkpoint-restart data collected for DATA and PROC steps in a prior execution.,Portable,startup,ERRORHANDLING
STRIPESIZE,char,0.0,,Specifies path and size pairs to identify I/O device stripe size.  Stripe size indicates page size when creating a data set or utility file.,Portable,anytime,TK
SUMSIZE,num,0.0,0,Specifies a limit on the amount of memory that is available for data summarization procedures when class variables are active.,Portable,anytime,MEMORY
SVGAUTOPLAY,Boolean,0.0,SVGAUTOPLAY,Starts animation when the page is loaded in the browser.,Portable,anytime,ANIMATION
SVGCONTROLBUTTONS,Boolean,0.0,NOSVGCONTROLBUTTONS,Displays the paging control buttons and an index in a multipage SVG document.,Portable,anytime,SVG
SVGFADEIN,char,0.0,0,Specifies the number of seconds for the fade-in effect for a graph.,Portable,anytime,ANIMATION
SVGFADEMODE,char,0.0,OVERLAP,Specifies whether to use sequential frames or to overlap frames for the fade-in effect of a graph.,Portable,anytime,ANIMATION
SVGFADEOUT,char,0.0,0,Specifies the number of seconds for a graph to fade out of view.,Portable,anytime,ANIMATION
SVGHEIGHT,char,0.0,,Specifies the height of the viewport. Specifies the value of the height attribute of the outermost SVG element.,Portable,anytime,SVG
SVGMAGNIFYBUTTON,Boolean,0.0,NOSVGMAGNIFYBUTTON,Enables the SVG magnifier tool.,Portable,anytime,SVG
SVGPRESERVEASPECTRATIO,char,0.0,,Specifies whether to force uniform scaling of SVG output. Specifies the preserveAspectRatio attribute on the outermost SVG element.,Portable,anytime,SVG
SVGTITLE,char,0.0,svgtitle,Specifies the text in the title bar of the SVG output. Specifies the value of the TITLE element in the SVG file.,Portable,anytime,SVG
SVGVIEWBOX,char,0.0,,"Specifies the coordinates, width, and height that are used to set the viewBox attribute on the outermost SVG element.",Portable,anytime,SVG
SVGWIDTH,char,0.0,,Specifies the width of the viewport. Specifies the value of the width attribute of the outermost SVG element.,Portable,anytime,SVG
SVGX,char,0.0,,Specifies the x-axis coordinate of one corner of the rectangular region for an embedded SVG element. Specifies the x attribute in the outermost SVG element.,Portable,anytime,SVG
SVGY,char,0.0,,Specifies the y-axis coordinate of one corner of the rectangular region for an embedded SVG element. Specifies the y attribute in the outermost SVG element.,Portable,anytime,SVG
SYMBOLGEN,Boolean,0.0,NOSYMBOLGEN,Displays the results of resolving macro variable references in the SAS log.,Portable,anytime,MACRO
SYNCHIO,Boolean,0.0,SYNCHIO,Requires that data set I/O must be completed before other logical SAS tasks can be executed.,Portable,startup,SASFILES
SYNTAXCHECK,Boolean,0.0,NOSYNTAXCHECK,Enables syntax check mode for multiple steps in non-interactive or batch SAS sessions.,Portable,anytime,ERRORHANDLING
SYSPARM,char,0.0,,Specifies a character string that can be passed to SAS programs.,Portable,anytime,ENVFILES
SYSPRINTFONT,char,0.0,,Specifies the default font to use for printing.,Portable,anytime,LISTCONTROL
SYSRPUTSYNC,Boolean,0.0,NOSYSRPUTSYNC,Sets the %%SYSRPUT macro variables in the client session when the %%SYSRPUT statements are executed.,Portable,anytime,COMMUNICATIONS
TBUFSIZE,num,0.0,0,Specifies the size of the buffer that is used by SAS applications to transfer client/server data across a network.,Portable,anytime,COMMUNICATIONS
TCPLISTENTIME,num,0.0,300,Specifies the amount of time that a SAS/CONNECT server listens for a client to connect before terminating the CONNECT server session.,Portable,anytime,COMMUNICATIONS
TCPPORTFIRST,num,0.0,0,Specifies the first value in a range of TCP/IP ports for a client to use to connect to a server.,Portable,anytime,COMMUNICATIONS
TCPPORTLAST,num,0.0,0,Specifies the last value in a range of TCP/IP ports for a client to use to connect to a server.,Portable,anytime,COMMUNICATIONS
TENANTID,char,0.0,,Specifies a name that identifies a tenant in a multi-tenant environment.,Portable,anytime,EXECMODES
TERMINAL,Boolean,0.0,NOTERMINAL,Associates a terminal with a SAS session.,Portable,startup,EXECMODES
TERMSTMT,char,0.0,,Specifies the SAS statement to execute when SAS terminates.,Portable,startup,EXECMODES
TEXTURELOC,char,0.0,!SASROOT/misc/textures,Specifies the location of textures and images that are used by ODS styles.,Portable,anytime,ODSPRINT
THREADS,Boolean,0.0,THREADS,Uses threaded processing for SAS applications that support it.,Portable,anytime,PERFORMANCE
TIMEZONE,char,0.0,,Specifies a time zone.,Portable,anytime,LANGUAGECONTROL
TOOLSMENU,Boolean,0.0,TOOLSMENU,Displays the Tools menu in SAS windows.,Portable,startup,ENVDISPLAY
TOPMARGIN,char,0.0,0.000 IN,Specifies the print margin at the top of the page.,Portable,anytime,ODSPRINT
TRAINLOC,char,0.0,,Specifies the URL for SAS online training courses.,Portable,startup,ENVFILES
TRANTAB,char,0.0,,Specifies the translation table catalog entries.,Portable,anytime,LANGUAGECONTROL
TSID,char,0.0,,Specifies a logical server metadata object that identifies a table service definition.,Portable,anytime,SASFILES
UBUFNO,num,0.0,10,Specifies the number of utility file buffers.,Portable,anytime,PERFORMANCE
UBUFSIZE,num,0.0,131072,Specifies the size of utility file buffers.,Portable,anytime,PERFORMANCE
UNIVERSALPRINT,Boolean,0.0,UNIVERSALPRINT,Enables the Universal Printing windows to display and sets up default values for printing.,Portable,startup,ODSPRINT
UPRINTCOMPRESSION,Boolean,0.0,UPRINTCOMPRESSION,Enables compression of files that are created by some Universal Printers and SAS/GRAPH devices.,Portable,anytime,ODSPRINT
URLENCODING,char,0.0,SESSION,Specifies whether the argument to the URLENCODE function and to the URLDECODE function is interpreted using the SAS session encoding or UTF-8 encoding.,Portable,anytime,LANGUAGECONTROL
USER,char,0.0,,Specifies the default permanent library to use for one-level SAS data set names.,Portable,anytime,ENVFILES
UTILLOC,char,0.0,WORK,Specifies one or more file system locations in which threaded applications can store utility files.,Portable,startup,PERFORMANCE
UUIDCOUNT,num,0.0,100,Specifies the number of UUIDs to acquire from the UUID Generator Daemon.,Portable,anytime,ENVFILES
UUIDGENDHOST,char,0.0,,"Specifies the host and port, or the LDAP URL that the UUID Generator Daemon runs on.",Portable,startup,ENVFILES
V6CREATEUPDATE,char,0.0,NOTE,Specifies the type of message to write to the SAS log when Version 6 data sets are created or updated.,Portable,startup,SASFILES
VALIDFMTNAME,char,0.0,LONG,Specifies the maximum size that user-created formats and informat names can be before an error or warning is issued.,Portable,anytime,SASFILES
VALIDMEMNAME,char,0.0,EXTEND,"Specifies the rules for naming SAS data sets, SAS data views, and item stores.",Portable,anytime,SASFILES
VALIDVARNAME,char,0.0,ANY,Specifies the rules for valid SAS variable names that can be created and processed during a SAS session.,Portable,anytime,SASFILES
VARINITCHK,char,0.0,NOTE,Specifies the type of message to write to the SAS log when a variable is not initialized.,Portable,anytime,SASFILES
VARLENCHK,char,0.0,WARN,Specifies the type of message to write to the SAS log when the length of the variable that is being read is longer than the length that is defined for the varia,Portable,anytime,SASFILES
VBUFSIZE,num,0.0,65536,Specifies the buffer size for a view.,Portable,anytime,PERFORMANCE
VIEWMENU,Boolean,0.0,VIEWMENU,Displays the View menu in SAS windows.,Portable,startup,ENVDISPLAY
VNFERR,Boolean,0.0,VNFERR,SAS issues an error message when a BY variable exists in one data set but not another when the other data set is _NULL_.,Portable,anytime,ERRORHANDLING
WORK,char,0.0,/saswork/SAS_work9422000102FB_odaws01-apse1.oda.sas.com/SAS_workD035000102FB_odaws01-apse1.oda.sas.com,Specifies the libref or location of the Work library.,Portable,startup,PERFORMANCE
WORKINIT,Boolean,0.0,WORKINIT,"At SAS invocation, erases files that exist from a previous SAS session in an existing Work library.",Portable,startup,ENVFILES
WORKTERM,Boolean,0.0,WORKTERM,Erases the Work files when SAS terminates.,Portable,anytime,ENVFILES
YEARCUTOFF,num,0.0,1940,Specifies the first year of a 100-year span that is used by date informats and functions to read a two-digit year.,Portable,anytime,INPUTCONTROL
_LAST_,char,0.0,WORK._N_U_L_L_,Specifies the most recently created data set.,Portable,anytime,SASFILES
BACKGROUND,char,0.0,,Application Background Color.,Host,startup,ENVDISPLAY
BD,char,0.0,,Border Color.,Host,startup,ENVDISPLAY
BG,char,0.0,,Application Background Color.,Host,startup,ENVDISPLAY
BLKSIZE,num,0.0,256,Specifies the number of bytes that are read or written in one I/O operation.,Host,anytime,SASFILES
BORDERCOLOR,char,0.0,,Application Border Color.,Host,startup,ENVDISPLAY
BORDERWIDTH,char,0.0,,Application Border Width.,Host,startup,ENVDISPLAY
BW,char,0.0,,Application Border Width.,Host,startup,ENVDISPLAY
COMAUX1,char,0.0,,Specifies the first alternate communication access method.,Host,startup,COMMUNICATIONS
COMAUX2,char,0.0,,Specifies the second alternate communication access method.,Host,startup,COMMUNICATIONS
CONFIG,char,0.0,( /pbr/sfw/sas/940/SASFoundation/9.4/sasv9.cfg /pbr/sfw/sas/940/SASFoundation/9.4/nls/u8/sasv9.cfg /pbr/sfw/sas/940/SASFoundation/9.4/sasv9_local.cfg /pbr/biconfig/940/Lev1/SASApp/sasv9.cfg /pbr/biconfig/940/Lev1/SASApp/sasv9_usermods.cfg /pbr/biconfig/940/Lev1/SASApp/WorkspaceServer/sasv9.cfg /pbr/biconfig/940/Lev1/SASApp/WorkspaceServer/sasv9_usermods.cfg ),Specifies the configuration file that is used when initializing or overriding the values of SAS system options.,Host,startup,ENVFILES
DBCS,Boolean,0.0,DBCS,Enables double-byte character sets for encoding values that support East Asian languages.,Host,startup,LANGUAGECONTROL
DBCSLANG,char,0.0,UNKNOWN,Specifies a double-byte character set language.,Host,startup,LANGUAGECONTROL
DBCSTYPE,char,0.0,UTF8,Specifies the encoding method that is used for a double-byte character set.,Host,startup,LANGUAGECONTROL
DISPLAY,char,0.0,,Display and Screen.,Host,startup,ENVDISPLAY
ECHO,char,0.0,,Specifies a message that is echoed to the SAS log while initializing SAS.,Host,startup,LOGCONTROL
EDITCMD,char,0.0,,Specifies the host editor that is used with the HOSTEDIT command.,Host,anytime,ENVDISPLAY
EMAILSYS,char,0.0,SMTP,Specifies the email protocol that is used for sending electronic mail.,Host,anytime,EMAIL
FG,char,0.0,,Application Foreground Color.,Host,startup,ENVDISPLAY
FILELOCKS,char,0.0,( '/' NONE ),Specifies whether file locking is turned on or off and what action should be taken if a file cannot be locked.,Host,anytime,SASFILES
FILELOCKWAITMAX,num,0.0,600,Specifies the maximum number of seconds that SAS waits for a locked file to become available.,Host,startup,SASFILES
FN,char,0.0,,Application Font.,Host,startup,ENVDISPLAY
FONT,char,0.0,,Application Font.,Host,startup,ENVDISPLAY
FOREGROUND,char,0.0,,Application Foreground Color.,Host,startup,ENVDISPLAY
FSDBTYPE,char,0.0,DEFAULT,Specifies a full-screen double-byte character set (DBCS) encoding method.,Host,startup,LANGUAGECONTROL
FSIMM,char,0.0,,Specifies input method modules (IMMs) for full-screen double-byte character sets (DBCS).,Host,anytime,LANGUAGECONTROL
FSIMMOPT,char,0.0,,Specifies options for input method modules (IMMs) that are used with a full-screen double-byte character set (DBCS).,Host,startup,LANGUAGECONTROL
GEOMETRY,char,0.0,,Position/size of Application Window.,Host,startup,ENVDISPLAY
ICONIC,Boolean,0.0,NOICONIC,Initial state of application.,Host,startup,ENVDISPLAY
INGOPTS,char,0.0,,Specifies the options to pass to the INGRES database.,Host,anytime,UNKNOWN
LPTYPE,char,0.0,,Specifies the UNIX command that is used to print files.,Host,anytime,LISTCONTROL
MAXMEMQUERY,num,0.0,268435456,"For certain procedures, specifies the maximum amount of memory that can be allocated per request.",Host,anytime,MEMORY
NAME,char,0.0,,Resource Name of Application.,Host,startup,ENVDISPLAY
PATH,char,0.0,( !SASROOT/dbcs/sasexe !SASROOT/sasexe ),Specifies one or more search paths for SAS executable files.,Host,startup,ENVFILES
PRINTCMD,char,0.0,,Specifies the print command that SAS is to use.,Host,anytime,LISTCONTROL
REVERSE,Boolean,0.0,NOREVERSE,"Use black for white, and vice-versa.",Host,startup,ENVDISPLAY
RTRACE,char,0.0,NONE,Specifies whether to produce a list of resources that are read or loaded during a SAS session.,Host,startup,LOGCONTROL
RTRACELOC,char,0.0,,Specifies the pathname for the file that records the list of resources that are read or loaded during a SAS session.,Host,anytime,ENVFILES
RV,Boolean,0.0,NORV,"Use Black for White, and vice-versa.",Host,startup,ENVDISPLAY
SELECTIONTIMEOUT,char,0.0,,Timeout in milliseconds,Host,startup,ENVDISPLAY
SEQENGINE,char,0.0,TAPE,Specifies the sequential engine to be used for accessing tapes and pipes.,Host,anytime,SASFILES
